,City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code
794,New York,New York,36.0,4081698.0,4468707.0,8550405,156961.0,3212500.0,2.68,NY
802,Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66,MI
805,College Station,Texas,22.9,54125.0,53774.0,107899,2471.0,16145.0,2.52,TX
806,Canton,Ohio,33.4,34476.0,37419.0,71895,3404.0,2204.0,2.32,OH
814,Southfield,Michigan,41.6,31369.0,41808.0,73177,4035.0,4011.0,2.27,MI
818,Victoria,Texas,35.8,32290.0,35291.0,67581,5000.0,4480.0,2.7,TX
822,Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,2951.0,15212.0,3.42,IL
824,Bloomington,Indiana,23.5,40588.0,43227.0,83815,2368.0,10033.0,2.33,IN
827,The Villages,Florida,70.5,,,72590,15231.0,4034.0,,FL
828,Oxnard,California,31.0,101906.0,105346.0,207252,6367.0,78678.0,4.08,CA
835,Deltona,Florida,39.9,44853.0,43621.0,88474,5664.0,7098.0,2.89,FL
842,Greenville,North Carolina,26.2,39897.0,50691.0,90588,4283.0,4183.0,2.4,NC
845,Westminster,California,42.9,45538.0,46573.0,92111,3435.0,42227.0,3.27,CA
850,Bayonne,New Jersey,39.7,32705.0,33598.0,66303,2225.0,21899.0,2.62,NJ
857,Camarillo,California,40.8,31941.0,35682.0,67623,4384.0,9735.0,2.77,CA
871,Boston,Massachusetts,31.8,322149.0,347320.0,669469,18350.0,190123.0,2.38,MA
873,Lynn,Massachusetts,34.8,44598.0,47861.0,92459,3093.0,29899.0,2.81,MA
874,Tallahassee,Florida,26.2,89390.0,100504.0,189894,9575.0,16720.0,2.38,FL
878,San Antonio,Texas,33.1,721405.0,748419.0,1469824,109089.0,208046.0,2.93,TX
881,Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,14521.0,24302.0,2.47,NC
885,Dallas,Texas,32.6,639019.0,661063.0,1300082,41026.0,326825.0,2.59,TX
894,Parma,Ohio,40.8,38425.0,41518.0,79943,5028.0,6909.0,2.42,OH
905,Saint Cloud,Minnesota,30.7,34311.0,33942.0,68253,5012.0,5757.0,2.41,MN
906,Delray Beach,Florida,47.9,32219.0,34042.0,66261,4232.0,16639.0,2.35,FL
912,West Palm Beach,Florida,39.6,49262.0,57520.0,106782,4917.0,30675.0,2.53,FL
915,Seattle,Washington,35.5,345659.0,338784.0,684443,29364.0,119840.0,2.13,WA
925,El Paso,Texas,33.1,332797.0,348339.0,681136,47693.0,159709.0,3.03,TX
929,Renton,Washington,36.3,52779.0,47468.0,100247,5032.0,28962.0,2.5700000000000003,WA
937,Trenton,New Jersey,33.3,42581.0,41650.0,84231,2604.0,20428.0,3.04,NJ
940,Odessa,Texas,31.2,61119.0,57861.0,118980,5509.0,15845.0,2.92,TX
942,Pharr,Texas,26.9,35242.0,41293.0,76535,1376.0,25532.0,3.67,TX
952,Milpitas,California,36.8,40098.0,37519.0,77617,1608.0,39436.0,3.32,CA
955,McAllen,Texas,32.3,68332.0,71921.0,140253,4356.0,37691.0,3.19,TX
961,Elgin,Illinois,35.7,54852.0,56224.0,111076,4024.0,30167.0,2.969999999999999,IL
963,Passaic,New Jersey,30.4,36505.0,34577.0,71082,693.0,24174.0,3.56,NJ
